"Xloc","Yloc","Landuse","Rock"
1.3,1.4,"Meadow","Quaternary"
1.3,1.45,"Meadow","Quaternary"
1.3,1.5,"Meadow","Quaternary"
1.3,1.55,"Meadow","Quaternary"
1.3,1.6,"Meadow","Sequanian"
1.3,1.65,"Meadow","Sequanian"
1.3,1.7,"Meadow","Sequanian"
1.3,1.75,"Meadow","Sequanian"
1.3,1.8,"Meadow","Sequanian"
1.3,1.85,"Meadow","Sequanian"
1.3,1.9,"Meadow","Sequanian"
1.3,1.95,"Pasture","Sequanian"
1.3,2,"Pasture","Sequanian"
1.3,2.05,"Pasture","Sequanian"
1.3,2.1,"Pasture","Sequanian"
1.3,2.15,"Pasture","Sequanian"
1.3,2.2,"Pasture","Sequanian"
1.3,2.25,"Meadow","Kimmeridgian"
1.3,2.3,"Meadow","Kimmeridgian"
1.3,2.35,"Meadow","Kimmeridgian"
1.3,2.4,"Meadow","Kimmeridgian"
1.3,2.45,"Meadow","Kimmeridgian"
1.3,2.5,"Meadow","Kimmeridgian"
1.3,2.55,"Meadow","Sequanian"
1.3,2.6,"Meadow","Sequanian"
1.3,2.65,"Meadow","Sequanian"
1.3,2.7,"Meadow","Sequanian"
1.3,2.75,"Meadow","Sequanian"
1.3,2.8,"Meadow","Sequanian"
1.3,2.85,"Meadow","Sequanian"
1.3,2.9,"Meadow","Argovian"
1.3,2.95,"Meadow","Argovian"
1.3,3,"Pasture","Argovian"
1.3,3.05,"Pasture","Argovian"
1.3,3.1,"Pasture","Argovian"
1.3,3.15,"Meadow","Argovian"
1.3,3.2,"Meadow","Argovian"
1.35,0.6,"Pasture","Quaternary"
1.35,0.65,"Pasture","Quaternary"
1.35,0.7,"Tillage","Argovian"
1.35,0.75,"Tillage","Argovian"
1.35,0.8,"Pasture","Argovian"
1.35,0.85,"Meadow","Argovian"
1.35,0.9,"Meadow","Argovian"
1.35,0.95,"Meadow","Argovian"
1.35,1,"Meadow","Argovian"
1.35,1.05,"Meadow","Argovian"
1.35,1.1,"Tillage","Argovian"
1.35,1.15,"Tillage","Argovian"
1.35,1.2,"Forest","Quaternary"
1.35,1.25,"Meadow","Argovian"
1.35,1.3,"Meadow","Argovian"
1.35,1.35,"Meadow","Quaternary"
1.35,1.4,"Meadow","Quaternary"
1.35,1.45,"Meadow","Quaternary"
1.35,1.5,"Meadow","Quaternary"
1.35,1.55,"Meadow","Quaternary"
1.35,1.6,"Meadow","Sequanian"
1.35,1.65,"Meadow","Sequanian"
1.35,1.7,"Meadow","Sequanian"
1.35,1.75,"Meadow","Sequanian"
1.35,1.8,"Meadow","Sequanian"
1.35,1.85,"Meadow","Sequanian"
1.35,1.9,"Meadow","Sequanian"
1.35,1.95,"Pasture","Sequanian"
1.35,2,"Pasture","Sequanian"
1.35,2.05,"Pasture","Sequanian"
1.35,2.1,"Pasture","Sequanian"
1.35,2.15,"Pasture","Sequanian"
1.35,2.2,"Pasture","Sequanian"
1.35,2.25,"Pasture","Sequanian"
1.35,2.3,"Pasture","Quaternary"
1.35,2.35,"Pasture","Quaternary"
1.35,2.4,"Meadow","Kimmeridgian"
1.35,2.45,"Meadow","Kimmeridgian"
1.35,2.5,"Meadow","Kimmeridgian"
1.35,2.55,"Meadow","Kimmeridgian"
1.35,2.6,"Meadow","Sequanian"
1.35,2.65,"Meadow","Sequanian"
1.35,2.7,"Meadow","Sequanian"
1.35,2.75,"Meadow","Sequanian"
1.35,2.8,"Meadow","Sequanian"
1.35,2.85,"Meadow","Sequanian"
1.35,2.9,"Meadow","Argovian"
1.35,2.95,"Meadow","Argovian"
1.35,3,"Meadow","Argovian"
1.35,3.05,"Meadow","Argovian"
1.35,3.1,"Meadow","Argovian"
1.35,3.15,"Meadow","Argovian"
1.35,3.2,"Meadow","Argovian"
1.35,3.25,"Meadow","Argovian"
1.4,0.6,"Pasture","Quaternary"
1.4,0.65,"Pasture","Quaternary"
1.4,0.7,"Tillage","Argovian"
1.4,0.75,"Tillage","Argovian"
1.4,0.8,"Pasture","Argovian"
1.4,0.85,"Meadow","Argovian"
1.4,0.9,"Meadow","Argovian"
1.4,0.95,"Meadow","Argovian"
1.4,1,"Meadow","Argovian"
1.4,1.05,"Meadow","Argovian"
1.4,1.1,"Tillage","Argovian"
1.4,1.15,"Tillage","Argovian"
1.4,1.2,"Forest","Quaternary"
1.4,1.25,"Meadow","Argovian"
1.4,1.3,"Meadow","Argovian"
1.4,1.35,"Meadow","Quaternary"
1.4,1.4,"Meadow","Quaternary"
1.4,1.45,"Meadow","Quaternary"
1.4,1.5,"Meadow","Quaternary"
